region,year,total energy production,total energy production from coal,total energy production from natural gas,total energy production from petroleum and other liquids,"total energy production from nuclear, renewables and other",total energy production from nuclear,total energy production from renewables and other,CO2 emissions,coal and coke CO2 emissions,consumed natural gas CO2 emissions,petroleum and other liquids CO2 emissions,population,gdp,energy_per_gdp,energy_per_capita,fossil_energy,renewables_energy,nuclear_energy,ln_co2,ln_gdp,ln_population,ln_total_energy,ln_fossil_energy,ln_renewables_energy,ln_nuclear_energy,fossil_share,renewables_share,nuclear_share,co2_per_capita,co2_per_energy
Turkiye,2015,0.9421904924657252,0.5339901218926607,0.013822308785897,0.105810281967213,0.2885677798199545,0.0,0.2885677798199545,351.130761699,138.02583955400576,92.565031145,120.539891,78218479.0,864313810469.009,1.0901023228524573e-12,1.2045625337022026e-08,0.6536227126457707,0.2885677798199545,0.0,5.861158694542892,27.485201746368283,18.175016481947893,-0.059547803548550785,-0.42522498597008507,-1.2428252819104149,,0.6937267122439659,0.3062732877560341,0.0,4.4891023986672e-06,372.6749150058669
Turkiye,2016,1.083630453850443,0.6475223232554546,0.013314406740962,0.1082604240437157,0.314533299810311,0.0,0.314533299810311,372.724052265,152.4432502675376,89.354498997,130.926303,79277962.0,869682881593.041,1.246006420024623e-12,1.3668747612992917e-08,0.7690971540401322,0.314533299810311,0.0,5.920838339592067,27.491394478231296,18.188470741298378,0.08031693516245804,-0.2625379793028675,-1.1566653266969222,,0.7097411772687952,0.290258822731205,0.0,4.701483777610227e-06,343.95863547448937
Turkiye,2017,1.0819852891936446,0.6551845609624675,0.012842783413521,0.1072507922054643,0.3067071526121916,0.0,0.3067071526121916,402.654350683,162.2986283498553,103.227002333,137.12872,80312698.0,858988492853.742,1.2596039390458653e-12,1.347215715743536e-08,0.7752781365814527,0.3067071526121916,0.0,5.998078503306735,27.479021362861594,18.201438298420424,0.07879758439253381,-0.254533428101383,-1.181861886933372,,0.7165329735298277,0.2834670264701721,0.0,5.013582667624988e-06,372.144015916409
Turkiye,2018,1.2188328989580324,0.7393936346734478,0.0155146599465791,0.1197703130535518,0.3441542912844537,0.0,0.3441542912844537,397.800544326,168.9163261181206,95.037428208,133.84679,81407204.0,778972108040.602,1.564668216457506e-12,1.4972052092073232e-08,0.8746786076735786,0.3441542912844537,0.0,5.98595073475981,27.381241077350225,18.21497432828527,0.19789376067456058,-0.13389876561362646,-1.0666652009885573,,0.7176361980558059,0.282363801944194,0.0,4.886552108164776e-06,326.37824648979824
Turkiye,2019,1.379109042191354,0.7726387261514397,0.0170311304112878,0.1254448899103824,0.4639942957182443,0.0,0.4639942957182443,392.433270519,172.29809366842312,86.548426851,133.58675,82579440.0,761005915750.925,1.8122185565804882e-12,1.6700392279135754e-08,0.9151147464731099,0.4639942957182443,0.0,5.972366511352323,27.357906968432186,18.229271297096247,0.3214376690652721,-0.08870581558774766,-0.7678830205421304,,0.6635550333416897,0.33644496665831025,0.0,4.7521909874782395e-06,284.55565043315056
Turkiye,2020,1.2734664632253,0.6649827863649828,0.0159981251733041,0.1345580738448086,0.4579274778422044,0.0,0.4579274778422044,371.59497553,157.23677568425484,92.229319846,122.12888,83384680.0,720338490327.248,1.7678722993779874e-12,1.5272187447685834e-08,0.8155389853830954,0.4579274778422044,0.0,5.917804485669585,27.302987063936676,18.23897515740978,0.24174268075634445,-0.20390605256635688,-0.7810444527285941,,0.6404086867883314,0.3595913132116683,0.0,4.456393854722474e-06,291.79800666981356
Turkiye,2021,1.3501886033136656,0.7621854005035198,0.0142729594874998,0.1445875153005463,0.4291427280220997,0.0,0.4291427280220997,403.647115319,158.0269974754969,113.910277844,131.70984,84147318.0,819865223976.115,1.6468421440851363e-12,1.6045533421679177e-08,0.921045875291566,0.4291427280220997,0.0,6.000541019324716,27.43240580269122,18.24807960643542,0.30024428885061244,-0.08224543366160458,-0.8459657160340636,,0.6821609018407597,0.3178390981592403,0.0,4.7969100490998424e-06,298.956097191429
Turkiye,2022,1.337757069417109,0.6652791660507318,0.0137750516849204,0.1505301974601091,0.5081726542213476,0.0,0.5081726542213476,392.211588489,150.1470741129333,103.078034376,138.98648,84979913.0,907118434653.505,1.474732535810604e-12,1.574203858524907e-08,0.8295844151957613,0.5081726542213476,0.0,5.9718014607224665,27.533538856986212,18.257925468880117,0.290994382753048,-0.18683040816931226,-0.6769340186320917,,0.6201308400165884,0.3798691599834116,0.0,4.615344669616219e-06,293.18595838921294
Turkiye,2023,1.322695772790065,0.6217557095209033,0.0292870830637918,0.1720304989551911,0.4996224812501786,0.0,0.4996224812501786,399.1734211,155.26001207614385,96.702769024,147.21064,85325965.0,1118252958513.72,1.1828234056702804e-12,1.5501679621086795e-08,0.8230732915398862,0.4996224812501786,0.0,5.9893959618099135,27.742788724919826,18.261989362391304,0.2796719061500461,-0.19471002815121163,-0.69390250324396,,0.622269541093122,0.3777304589068778,0.0,4.678217481630591e-06,301.78778016201903
United Arab Emirates,1992,6.409115421280259,0.0,1.0707903528,5.338325068480259,0.0,0.0,0.0,100.10639766,0.0,50.10639766,50.0,2114730.0,54239171887.769,1.1816396154686724e-10,3.030701518056801e-06,6.409115421280259,0.0,0.0,4.606233596966159,24.71666921290612,14.56443770273887,1.8577212616094585,1.8577212616094585,,,1.0,0.0,0.0,4.733767320650863e-05,15.619378194940223
