Report generated on: 12-07-2025 23:00:32
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"","energy consumption per capita (MMBtu/person)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-33-ARM-MBTUPP.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","49.328549269673736","34.946699757609416","32.71268411085058","35.80001949323455","48.06158279726469","40.82428658329808","43.7784071326955","26.86786096820104","29.30346520745988","29.807816715495026","27.275538747079985","29.830843072200928","31.306037080569933","37.68474084061758","37.82119500316859","43.13433988742917","41.685993538999135","36.60464346170969","40.34629034856087","42.84662333078484","46.42762515531205","45.74767050182525","47.11516150651811","43.071947677670586","43.22624386122031","46.60584928270265","45.80729993340588","48.618881059849386","52.80394270310334","54.513468166552514","60.47109843741176","54.689364219731274"
"INTL.47-33-ABW-MBTUPP.A","        Aruba","--","--","--","--","--","--","22.8520142720171","22.928778703002777","88.13114149644795","116.80863700899195","121.37685969922245","128.20741861653366","136.06024917675757","133.9651480189104","142.21169770481092","155.73961234489843","99.2912736168803","155.38122814588317","150.42732360910512","145.73927976686096","169.81209033246586","172.70263861358742","176.425874653914","194.485735564944","200.85175211612116","214.55977915738075","211.5423738887957","215.2925475478066","199.72548090486174","194.74356979948314","175.8864331179943","136.94382394074145","170.90687645908037","162.9236986277869","163.76450656909765","166.89822607883542","162.50276092652905","167.41325016152203","157.2555430052506","148.9043010998424","145.13404976319111","153.1495281110352","156.38313396083507","153.95241618050926"
"INTL.47-33-AUS-MBTUPP.A","        Australia","200.55864490117324","201.06153484517608","207.60434253482703","195.9859766337209","196.42145100249215","201.9542125074789","201.7842273892537","209.59465929085243","211.7088054380039","220.8128359592453","211.71965026148675","206.77206488275618","209.11577324527178","212.06905346842015","213.87748728121565","218.55635302942594","226.39437824667252","229.6517472395039","236.6643581560321","240.12064813994496","239.4095979389043","238.39494104169788","244.04170406615467","242.7680932161772","248.3935864205955","249.79565951738206","249.36402128261034","252.45666924854007","247.9223959994687","248.8420348862005","246.1560664938312","244.9096120921701","244.27452021401118","238.57644395582315","231.17266050566906","229.54639307290518","233.96941588672715","230.3333950163961","231.92621740114825","236.46016093446354","218.0431913476915","221.8759667091134","229.58778098579137","222.83573019522078"
"INTL.47-33-AUT-MBTUPP.A","        Austria","119.00867187156389","115.51444332618671","108.68458872292183","109.83286873293484","114.94927268625429","116.15611770783971","113.22076898795302","111.38836112516412","113.86642291214922","115.29261184841346","122.3540960789912","128.86381239212727","121.64990421898122","122.44769600088345","122.28845488274155","128.11534179089531","137.34611450757865","136.19591920521935","138.25527829764812","136.85186519445185","134.26622395079343","142.18156362508017","142.37950360071753","150.31201326409968","152.8291906726871","158.42622149256522","157.14724127044784","152.29446304874668","151.61881961075548","142.04628374930584","149.28681740474724","143.21029223564628","141.34406687087542","141.9300772718221","135.4981373048951","136.9578817617384","137.57553486035798","140.32289668756079","137.19471312003841","140.1492472729958","127.85112876647216","134.0618564086387","125.13325406768253","119.26410098607303"
"INTL.47-33-AZE-MBTUPP.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","132.21941635482455","110.26012690903109","98.15174567708715","92.9435575847361","80.79396352425275","78.98435423545406","66.460101300398","68.33406216774608","60.798018717138994","53.108089211376786","62.24382892659986","65.57590920800358","71.61621446825565","73.10923123818849","73.53761490548584","59.56054584608306","63.193529480587934","58.495998581853065","61.771365330905454","58.20514958367386","63.16592329247108","58.69092461667253","59.83800878377237","62.32368442880232","60.4477702891592","59.73684342594137","59.467277164355416","61.66033077535513","59.68515784966027","66.3944667810611","70.16932359190992","66.46717033779416"
"INTL.47-33-BHR-MBTUPP.A","        Bahrain","403.64283283714417","450.1523562980393","465.1033965235882","473.7482858943943","446.32820702470707","515.4458505856779","538.7157465810378","625.96802941885","521.4229040407548","516.0824924304967","547.3071632511552","596.2364823846887","487.1996894533196","567.0929014541059","544.9228208989814","532.723525272509","515.0274602301271","558.7868257973565","527.8394110345486","491.674182063174","605.4440925316516","589.2216512704662","593.2834993118047","576.1062051172044","553.8712338663468","575.8579910083434","568.6195170367284","539.5077934315217","532.096587037923","493.3152724464641","478.36289743216133","486.5860961155461","516.687381248165","554.3291295686823","523.8249624403832","506.9479744728282","486.5064095289585","475.0579097922179","477.4084038470043","531.8233216146249","522.7564852286607","532.6083056332241","543.6168133140885","557.7065419722961"
"INTL.47-33-BGD-MBTUPP.A","        Bangladesh","1.3408156241143883","1.4279638199696507","1.4691840684413735","1.3784408340902967","1.6341338498034623","1.6516704609013864","1.7740316124105613","1.8786976149318195","2.059363155728765","2.187089545074329","2.0871105732921205","2.185690659315669","2.4184357154767686","2.5832692854491404","2.7973459502308784","3.021242869808911","3.0749120304720607","3.1011241649836623","3.2526015929915455","3.595151288785625","3.747049290440693","4.036660676917746","4.18177375431717","4.538780637698627","4.632468442409422","4.86388841826024","5.184882300505556","5.417519700611382","5.793255064688321","6.065215615076343","6.327046549087988","6.591003075857714","7.049173065442862","7.163596023253605","7.596513308438267","8.334644900195459","8.87425246790886","9.072554255053058","9.35010563154716","10.366749405125907","9.863239548319964","10.762048334353365","10.810695102513929","11.472115124524901"
"INTL.47-33-BRB-MBTUPP.A","        Barbados","58.07558864118165","60.26167400007928","60.899678417239535","64.01056149703209","61.455575978861724","67.6809028660289","70.76235883687036","67.2028264646551","63.16140145249706","68.65238523259553","72.59684653224123","73.18242510014535","77.04082432886229","74.86138348331782","70.8367369104044","73.3996670171234","65.84093145216636","79.23431207887435","80.46527811542624","84.21401865403003","90.69190131412944","90.6207866166711","90.63558524671112","91.04098779137922","91.19724362232742","91.42119568043351","91.1889573272026","86.58993327607566","101.56629573142564","95.22960477924146","91.35920659332388","95.69558965009257","89.68193648595457","90.76880623761289","78.61393524401515","83.35738911299094","84.6845865931236","79.92491888576974","89.74488004654775","87.30328786931419","68.25609469537265","65.18292658148215","67.76366162752736","68.29293338951548"
"INTL.47-33-BLR-MBTUPP.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","146.98740150570666","125.03177008185635","103.45546796315364","97.93704602835983","98.2934068542703","97.8670083458219","96.26881911572828","99.92300949698081","109.15543173817207","102.82009147831346","99.85287457585186","105.32415142326666","98.67514299669675","111.73489717804559","119.9132877423157","116.92034644078933","118.86368622074791","110.86672227082757","118.22873799325924","122.545919841986","123.71339725054811","118.10570713849684","118.21410803220519","100.41390376504087","99.32476135172016","98.73890528043518","104.29934490717608","101.19875119438666","97.11122308443458","105.5666624396091","100.92237017446828","104.82069350437511"
"INTL.47-33-BEL-MBTUPP.A","        Belgium","215.02149513026754","202.1966089793589","189.1392399671105","185.9187007127057","190.01454925768908","197.46760228668407","205.34267970757924","211.59199434415365","216.48321016394362","217.08273968533624","221.8810357594667","228.92242833249685","228.180997790182","224.07169473721336","237.6268130636415","240.7406232260602","254.19087777089038","254.7791363607022","260.37267925003346","258.06636263956176","263.2797776665117","261.78421860090697","259.24995048717847","266.5469969688942","268.8492097553278","264.72906175550753","262.1278387681013","261.25212820855774","267.0959129792814","241.65683451194238","256.64334632677964","236.68861723860792","227.66605069291194","232.75551480435533","215.48316486210618","216.5748157109209","228.96327126311687","228.71480307554006","228.9265418190308","227.77306442461474","203.4892108737034","225.52905697656388","205.95698942859283","189.9603187697955"
"INTL.47-33-BLZ-MBTUPP.A","        Belize","24.763038072885717","22.77162586415538","20.912380127137926","20.42766282170706","21.217389472318647","20.683405034661416","24.614575024540354","19.700570508764635","14.749239127135477","20.75397141298815","26.712401878475138","29.62127562156606","24.31665394490088","23.766075470674572","22.19884354364103","25.422887598541084","21.237487293166556","32.55330721185297","30.970727776639446","30.8969139581928","30.85128069098096","33.320970528686054","31.253385442888778","30.450803335863412","28.31312166245959","29.61905119728943","30.837151796431932","28.064066835844358","25.804550175126675","26.781410156110844","31.633152962194735","25.082128761776087","28.6584120970769","28.98402907480846","27.13536271627997","30.51937025611985","29.859589389686356","32.86688173183033","31.107992663279543","38.48001889153596","30.205726172229554","31.016322750787932","31.90375514101564","30.751755965216756"
