region,year,total energy production,total energy production from coal,total energy production from natural gas,total energy production from petroleum and other liquids,"total energy production from nuclear, renewables and other",total energy production from nuclear,total energy production from renewables and other,CO2 emissions,coal and coke CO2 emissions,consumed natural gas CO2 emissions,petroleum and other liquids CO2 emissions,population,gdp,energy_per_gdp,energy_per_capita
Thailand,1999,1.135628860158824,0.1902141501532691,0.61104379105,0.3135644917104637,0.0208064272450912,0.0,0.0208064272450912,167.737959995,26.15325914876588,32.584700846,109.0,62299043.0,126669211778.94,4.064441246299366,38.92810230478302
Thailand,2000,1.2486301562188915,0.1852605992727266,0.6424412981,0.3956269600253718,0.0253012988207933,0.0,0.0253012988207933,158.037183163,27.51668979860333,36.520493364,94.0,63007815.0,126392224253.794,4.059756614043359,40.158696415787816
Thailand,2001,1.2932141679933555,0.2042311520003637,0.64416643585,0.4186588051710961,0.0261577749718956,0.0,0.0261577749718956,167.208172304,30.80461853703144,43.403553767,93.0,63651141.0,120296476180.402,4.1535537647929575,42.07207713119539
Thailand,2002,1.381535671694606,0.2041789572673554,0.6893650449,0.4558699950023986,0.0321216745248518,0.0,0.0321216745248518,183.254576264,32.32943760401737,47.92513866,103.0,64266437.0,134300904400.022,4.364392767756952,46.476763601174646
Thailand,2003,1.4705052659480562,0.1962773127887153,0.7507799488,0.4871931280711845,0.0362548762881564,0.0,0.0362548762881564,202.035371386,34.22252759898108,52.812843787,115.0,64868166.0,152280615245.887,4.45210365426738,50.34788475436685
Thailand,2004,1.509614008459448,0.2089481282145674,0.7896434,0.4779465921249432,0.0330758881199373,0.0,0.0330758881199373,220.327330867,37.61066186224383,54.716669005,128.0,65452047.0,172895685154.658,4.542074339571834,54.1088522524892
Thailand,2005,1.6817471005190694,0.2174720794463603,0.8369655,0.5910519157731485,0.0362576052995603,0.0,0.0362576052995603,236.972342109,40.36796797749346,59.604374132,137.0,66017420.0,189318408468.595,4.488034659969744,55.22696244559934
Thailand,2006,1.7619978527207414,0.1986440156628623,0.8588608,0.6596957203034983,0.0447973167543807,0.0,0.0447973167543807,231.842954599,43.88393560135146,60.959018998,127.0,66567687.0,221758296021.621,4.344737579443637,55.65570273080185
Thailand,2007,1.8337805091033903,0.1899836148224185,0.89707163,0.6952133750095978,0.0515118892713742,0.0,0.0515118892713742,225.09301363,50.18973217214074,64.803281458,110.1,67102394.0,262942621455.053,4.260206252729964,57.080489507183536
Thailand,2008,1.9887539347633152,0.188485861704574,0.9922992338,0.735951624235709,0.072017215023032,0.0,0.072017215023032,248.184105876,53.88437618212179,68.299729694,126.0,67619830.0,291382982430.951,4.228868848407524,57.1973460560573
Thailand,2009,2.09341760342617,0.1829726994146246,1.0654450744,0.7613004320366247,0.0836993975749208,0.0,0.0836993975749208,259.953630767,53.24898289388047,71.704647873,135.0,68121080.0,281710630187.319,4.426365558854686,59.01763131390716
Thailand,2010,2.3041571780367227,0.1901803411240731,1.248999731,0.7813122917892461,0.0836648141234034,0.0,0.0836648141234034,258.15152462,56.03260141205538,82.395358712,119.72356449634596,68579447.0,341104766329.17,4.484745311480465,63.85903474064164
Thailand,2011,2.394928974406086,0.2221482375440102,1.262800833,0.8088226005951833,0.1011573032668927,0.0,0.1011573032668927,264.619340371,56.59303365558377,84.537162082,123.48914463330706,69007208.0,370818739623.622,4.547146304526478,64.8868259956149
Thailand,2012,2.5946919143318703,0.1881842459574213,1.414612955,0.8778744709584974,0.1140202424159517,0.0,0.1140202424159517,281.194710193,58.50794690046629,92.921315446,129.76544784671057,69436098.0,397558325278.579,4.507961880911114,68.56070638640955
Thailand,2013,2.6456927320539485,0.1886460395061229,1.442318667265,0.8694026331900732,0.1453253920927524,0.0,0.1453253920927524,291.075972545,59.49545090272144,95.484157085,136.0963645574776,69845114.0,420333654592.547,4.65630665869996,72.29413865662767
Thailand,2014,2.6614408582909954,0.1924285406933863,1.452669493765,0.8593813378385742,0.1569614859940347,0.0,0.1569614859940347,294.314987204,61.71333439408775,96.463528712,136.13812409795685,70216367.0,407339040197.651,4.633217825365458,72.25976375147863
